"","id","roi","volume"
"1",127,"Telencephalon_L",531111
"2",127,"Telencephalon_R",543404
"3",127,"Diencephalon_L",9683
"4",127,"Diencephalon_R",9678
"5",127,"Mesencephalon",10268
"6",127,"Metencephalon",159402
"7",127,"Myelencephalon",4973
"8",127,"CSF",109776
"9",127,"CerebralCortex_L",276965
"10",127,"CerebralCortex_R",282858
"11",127,"CerebralNucli_L",12380
"12",127,"CerebralNucli_R",13073
"13",127,"Thalamus_L",6342
"14",127,"Thalamus_R",6372
"15",127,"BasalForebrain_L",3341
"16",127,"BasalForebrain_R",3306
"17",127,"Mesencephalon_L",4943
"18",127,"Mesencephalon_R",5325
"19",127,"Metencephalon_R",79910
"20",127,"Metencephalon_L",79493
"21",127,"Myelencephalon_L",2403
"22",127,"Myelencephalon_R",2571
"23",127,"WhiteMatter_L",241767
"24",127,"WhiteMatter_R",247473
"25",127,"Ventricle",45791
"26",127,"Sulcus_L",33971
"27",127,"Sulcus_R",30015
"28",127,"Frontal_L",98664
"29",127,"Frontal_R",98601
"30",127,"Parietal_L",41675
"31",127,"Parietal_R",47756
"32",127,"Temporal_L",63338
"33",127,"Temporal_R",61805
"34",127,"Limbic_L",30777
"35",127,"Limbic_R",34931
"36",127,"Occipital_L",37254
"37",127,"Occipital_R",35034
"38",127,"Insula_L",7241
"39",127,"Insula_R",7082
"40",127,"BasalGang_L",10397
"41",127,"BasalGang_R",10725
"42",127,"Thalamus_L",6342
"43",127,"Thalamus_R",6372
"44",127,"BasalForebrain_L",3341
"45",127,"BasalForebrain_R",3306
"46",127,"midbrain_L",4943
"47",127,"midbrain_R",5325
"48",127,"Cerebellum_R",71877
"49",127,"Cerebellum_L",72003
"50",127,"Pons_L",7491
"51",127,"Pons_R",8033
"52",127,"Medulla_L",2403
"53",127,"Medulla_R",2571
"54",127,"AnteriorWM_L",87012
"55",127,"AnteriorWM_R",91755
"56",127,"PosteriorWM_L",70431
"57",127,"PosteriorWM_R",71552
"58",127,"CorpusCallosum_L",12130
"59",127,"CorpusCallosum_R",13167
"60",127,"InferiorWM_L",57873
"61",127,"InferiorWM_R",57299
"62",127,"LimbicWM_L",14322
"63",127,"LimbicWM_R",13702
"64",127,"LateralVentricle_L",21332
"65",127,"LateralVentricle_R",19342
"66",127,"III_ventricle",2418
"67",127,"FrontSul_L",15004
"68",127,"FrontSul_R",11232
"69",127,"CentralSul_L",2159
"70",127,"CentralSul_R",1750
"71",127,"SylvianFissureExt_L",3826
"72",127,"SylvianFissureExt_R",2925
"73",127,"ParietSul_L",8739
"74",127,"ParietSul_R",9728
"75",127,"CinguSul_L",1173
"76",127,"CinguSul_R",1419
"77",127,"OcciptSul_L",1934
"78",127,"OcciptSul_R",2054
"79",127,"TempSul_L",1139
"80",127,"TempSul_R",910
"81",127,"IV_ventricle",2700
"82",127,"SFG_L",28786
"83",127,"SFG_R",26430
"84",127,"MFG_L",26237
"85",127,"MFG_R",27599
"86",127,"IFG_L",13080
"87",127,"IFG_R",11608
"88",127,"OG_L",9513
"89",127,"OG_R",9233
"90",127,"RG_L",6304
"91",127,"RG_R",6209
"92",127,"PoCG_L",10698
"93",127,"PoCG_R",11178
"94",127,"PrCG_L",14746
"95",127,"PrCG_R",17523
"96",127,"SPG_L",7564
"97",127,"SPG_R",6928
"98",127,"SMG_L",8626
"99",127,"SMG_R",9497
"100",127,"AG_L",7430
"101",127,"AG_R",13580
"102",127,"PrCu_L",7359
"103",127,"PrCu_R",6574
"104",127,"STG_L",17820
"105",127,"STG_R",16656
"106",127,"MTG_L",18933
"107",127,"MTG_R",19300
"108",127,"ITG_L",12554
"109",127,"ITG_R",12336
"110",127,"Limbic_L",2180
"111",127,"Limbic_R",2289
"112",127,"FuG_L",14032
"113",127,"FuG_R",13514
"114",127,"SOG_L",2568
"115",127,"SOG_R",2268
"116",127,"MOG_L",16292
"117",127,"MOG_R",14164
"118",127,"IOG_L",4290
"119",127,"IOG_R",4475
"120",127,"Cu_L",6038
"121",127,"Cu_R",6839
"122",127,"LG_L",8068
"123",127,"LG_R",7289
"124",127,"Cingulate_L",22643
"125",127,"Cingulate_R",26516
"126",127,"Insula_L",7241
"127",127,"Insula_R",7082
"128",127,"Amyg_L",1983
"129",127,"Amyg_R",2349
"130",127,"Hippo_L",3972
"131",127,"Hippo_R",3779
"132",127,"Caud_L",3570
"133",127,"Caud_R",3723
"134",127,"Put_L",4385
"135",127,"Put_R",4400
"136",127,"GP_L",1368
"137",127,"GP_R",1478
"138",127,"Thalamus_L",6342
"139",127,"Thalamus_R",6372
"140",127,"BasalForebrain_L",4053
"141",127,"BasalForebrain_R",4088
"142",127,"midbrain_L",4943
"143",127,"midbrain_R",5325
"144",127,"Cerebellum_R",58504
"145",127,"Cerebellum_L",59435
"146",127,"Pons_L",7491
"147",127,"Pons_R",8033
